string_id,gene_name,uniprot_id,uniprot_ac,protein_fullname,degree,degree_cent,betweenness,closeness,eigenvector,pagerank,k_core,clustering_coeff,weighted_degree,community_id,community_size,participation_coeff,within_module_z,num_comm_connected,protein_role,label
9606.ENSP00000361668,EDN2,EDN2_HUMAN,P20800,Endothelin-2,10.0,0.000629683,0.0,0.214986007,1.65e-06,3.65e-05,7.0,0.49442955,8446.0,4.0,2493.0,0.0,-0.169011769,0.0,peripheral,0
9606.ENSP00000361708,TCEAL1,TCAL1_HUMAN,Q15170,Transcription elongation factor A protein-like 1,10.0,0.000629683,0.000205099,0.208254358,1.26e-05,8.32e-05,4.0,0.116404116,8235.0,3.0,1094.0,0.18,-0.363659509,1.0,peripheral,0
9606.ENSP00000361721,CITED4,CITE4_HUMAN,Q96RK1,Cbp/p300-interacting transactivator 4,3.0,0.000188905,0.0,0.243982963,3.18e-05,1.49e-05,3.0,0.611830881,2701.0,7.0,1183.0,0.444444444,-0.700502758,1.0,peripheral,0
9606.ENSP00000361725,ENDOG,NUCG_HUMAN,Q14249,"Endonuclease G, mitochondrial",18.0,0.00113343,0.000222792,0.242203224,3.51e-05,5.21e-05,11.0,0.135506606,14692.0,1.0,2329.0,0.679012346,-0.477042868,4.0,connector,0
9606.ENSP00000361855,SEMG2,SEMG2_HUMAN,Q02383,Semenogelin-2,4.0,0.000251873,1.28e-06,0.203336119,4.34e-07,2.71e-05,3.0,0.542957499,3281.0,27.0,129.0,0.375,-0.78140152,1.0,peripheral,0
9606.ENSP00000361857,RLF,RLF_HUMAN,Q13129,Zinc finger protein Rlf,1.0,6.3e-05,0.0,0.177465136,1.2e-07,1.2e-05,1.0,0.0,805.0,7.0,1183.0,0.0,-0.72102618,0.0,peripheral,0
9606.ENSP00000361867,SEMG1,SEMG1_HUMAN,P04279,Alpha-inhibin-31,7.0,0.000440778,3.85e-05,0.220339696,1.34e-06,4.11e-05,4.0,0.286062769,6019.0,27.0,129.0,0.489795918,-0.78140152,1.0,peripheral,0
9606.ENSP00000361883,CAP1,CAP1_HUMAN,Q01518,Adenylyl cyclase-associated protein 1,20.0,0.001259367,1.79e-05,0.247467689,3.58e-05,5.23e-05,15.0,0.26950609,16741.0,4.0,2493.0,0.54,-0.010332505,4.0,peripheral,0
9606.ENSP00000361894,GNMT,GNMT_HUMAN,Q14749,Glycine N-methyltransferase,21.0,0.001322335,5.31e-05,0.232560353,8.32e-06,5.47e-05,16.0,0.458859403,18005.0,8.0,1936.0,0.172335601,0.006043269,1.0,peripheral,0
9606.ENSP00000361900,TOMM34,TOM34_HUMAN,Q15785,Mitochondrial import receptor subunit TOM34,4.0,0.000251873,0.0,0.244016131,7.7e-05,1.59e-05,4.0,0.867979125,3281.0,3.0,1094.0,0.0,-0.605069402,0.0,peripheral,0
9606.ENSP00000361923,CHCHD1,CHCH1_HUMAN,Q96BP2,,92.0,0.005793086,7.93e-09,0.23585767,0.017179275,7.02e-05,86.0,0.866526166,85081.0,17.0,842.0,0.021502836,0.001200937,1.0,peripheral,0
9606.ENSP00000361932,FUT11,FUT11_HUMAN,Q495W5,"Alpha-(1,3)-fucosyltransferase 11",1.0,6.3e-05,0.0,0.153478085,8.87e-10,1.31e-05,1.0,0.0,729.0,19.0,419.0,0.0,-1.04113943,0.0,peripheral,0
9606.ENSP00000361965,ADA,ADA_HUMAN,P00813,Adenosine deaminase,35.0,0.002203891,0.000251096,0.243988032,3.61e-05,8.51e-05,22.0,0.315587638,30584.0,8.0,1936.0,0.386938776,0.427656534,4.0,peripheral,0
9606.ENSP00000361967,TBCC,TBCC_HUMAN,Q15814,Tubulin-specific chaperone C,4.0,0.000251873,1.65e-06,0.18744361,5.93e-07,2.65e-05,4.0,0.423191045,3287.0,22.0,371.0,0.375,-0.733287354,1.0,peripheral,1
