string_id,gene_name,uniprot_id,uniprot_ac,protein_fullname,label,og_label,depmap_class,final_classification,depmap_dependent_lines,depmap_total_lines,depmap_pct_lines,n_approved_drugs,n_approved_drugs_drugcentral,n_approved_drugs_dgidb,n_drugbank_drugs,n_total_approved_drugs,any_approved_drug,drugbank_ids,n_total_cancer_trials,n_active_trials,n_completed_trials,n_chembl_activities,n_distinct_molecules,n_clinical_or_approved_compounds,protein_role,degree,degree_cent,betweenness,closeness,eigenvector,pagerank,k_core,clustering_coeff,weighted_degree,community_id,community_size,participation_coeff,within_module_z,num_comm_connected,depmap_is_ceg,depmap_is_cseg_flag
9606.ENSP00000429374,RPS20,RS20_HUMAN,B2R4F4,40S ribosomal protein S20,1,CEGs,DEPMAP-CEG,CEG_combined,1208,1208,100.0,1,0,1,0,1,True,,0,0,0,243,103,0,peripheral,317.0,0.01996096,0.000354863,0.294801673,0.082611842,0.000258878,112.0,0.382030227,289988.0,17.0,842.0,0.178447392,2.203345711,10.0,True,False
9606.ENSP00000429931,EIF3H,EIF3H_HUMAN,O15372,,1,UNLABELED,DEPMAP-CEG,CEG_combined,1094,1208,90.56,0,0,0,0,0,False,,0,0,0,4,2,0,peripheral,90.0,0.005667149,0.000217891,0.265983431,0.025671146,8.79e-05,64.0,0.630796611,80922.0,17.0,842.0,0.147160494,-0.088682523,4.0,True,False
9606.ENSP00000430236,ALG11,ALG11_HUMAN,A5PLP3,,1,CEGs,DEPMAP-CEG,CEG_combined,1202,1208,99.5,0,0,0,0,0,False,,0,0,0,0,0,0,peripheral,15.0,0.000944525,6.59e-05,0.20134428,2.61e-06,5.69e-05,12.0,0.481517185,12533.0,19.0,419.0,0.124444444,0.749541491,1.0,True,False
9606.ENSP00000431240,RPLP2,RLA2_HUMAN,P05387,60S acidic ribosomal protein P2,1,UNLABELED,DEPMAP-CEG,CEG_combined,1194,1208,98.84,0,0,0,0,0,False,,0,0,0,3,2,0,peripheral,172.0,0.010830552,0.0,0.277054985,0.060072276,0.000128321,112.0,0.708143419,158973.0,17.0,842.0,0.011560303,0.900035539,1.0,True,False
9606.ENSP00000431800,EIF3F,EIF3F_HUMAN,A8K0S2,,1,CEGs,DEPMAP-CEG,CEG_combined,1174,1208,97.19,0,0,0,0,0,False,,0,0,0,5,2,0,peripheral,101.0,0.006359801,0.000768253,0.269742031,0.026478432,0.000109915,65.0,0.536087595,89165.0,17.0,842.0,0.277031664,-0.066211658,4.0,True,False
9606.ENSP00000432768,CKAP5,CKAP5_HUMAN,Q05D70,Cytoskeleton-associated protein 5,1,CEGs,DEPMAP-CEG,CEG_combined,1204,1208,99.67,0,0,0,0,0,False,,0,0,0,0,0,0,peripheral,45.0,0.002833575,0.000213331,0.251476222,0.000155497,9.35e-05,27.0,0.243347366,37093.0,5.0,888.0,0.243950617,0.393430336,4.0,True,False
9606.ENSP00000434359,PUF60,PUF60_HUMAN,A8K8K8,Poly(U)-binding-splicing factor PUF60,1,CEGs,DEPMAP-CEG,CEG_combined,1208,1208,100.0,0,0,0,0,0,False,,0,0,0,10,3,0,peripheral,41.0,0.002581701,0.000140624,0.250070248,0.000346484,6.27e-05,29.0,0.345913863,34401.0,11.0,893.0,0.222486615,0.205677003,3.0,True,False
9606.ENSP00000434466,INTS4,INT4_HUMAN,Q2YD62,Integrator complex subunit 4,1,CEGs,DEPMAP-CEG,CEG_combined,381,383,99.48,0,0,0,0,0,False,,0,0,0,0,0,0,peripheral,36.0,0.00226686,0.000141187,0.244811268,0.000827861,6.88e-05,27.0,0.597424516,32165.0,7.0,1183.0,0.291666667,-0.125846922,3.0,True,False
9606.ENSP00000434614,CDC27,CDC27_HUMAN,G3V1C4,Cell division cycle protein 27 homolog,1,CEGs,DEPMAP-CEG,CEG_combined,1206,1208,99.83,0,0,0,0,0,False,,0,0,0,3,2,0,peripheral,83.0,0.005226371,0.0002882,0.272224746,0.000925256,0.000132272,41.0,0.356718664,74010.0,5.0,888.0,0.519088402,0.89172399,7.0,True,True
9606.ENSP00000434995,CLP1,CLP1_HUMAN,B2R7J6,Polyribonucleotide 5'-hydroxyl-kinase Clp1,1,CEGs,DEPMAP-CEG,CEG_combined,1207,1208,99.92,0,0,0,0,0,False,,0,0,0,0,0,0,peripheral,50.0,0.003148416,0.000254205,0.240889872,0.000476055,9.43e-05,25.0,0.303907391,42408.0,11.0,893.0,0.1144,0.511792943,2.0,True,False
9606.ENSP00000435777,RPS13,RS13_HUMAN,B2R549,40S ribosomal protein S13,1,CEGs,DEPMAP-CEG,CEG_combined,1205,1208,99.75,1,0,1,0,1,True,,0,0,0,249,104,0,provincial_hub,328.0,0.020653611,0.000269516,0.291786433,0.085434961,0.000257627,112.0,0.373781313,302460.0,17.0,842.0,0.077241969,2.517937822,6.0,True,False
9606.ENSP00000436049,EIF3M,EIF3M_HUMAN,B4E2Q4,,1,CEGs,DEPMAP-CEG,CEG_combined,1177,1208,97.43,0,0,0,0,0,False,,0,0,0,8,2,0,peripheral,93.0,0.005856054,0.000129125,0.266952893,0.024184807,9.42e-05,64.0,0.55797916,82119.0,17.0,842.0,0.308937449,-0.167330551,3.0,True,False
9606.ENSP00000437125,HSPA8,HSP7C_HUMAN,P11142,Heat shock cognate 71 kDa protein,1,UNLABELED,DEPMAP-intermediate,unclassified,744,1208,61.59,8,1,7,2,10,True,DB01254; DB09130,0,0,0,0,0,0,network_hub,203.0,0.01278257,0.006856285,0.31498352,0.0062094,0.000371581,42.0,0.088918378,175426.0,3.0,1094.0,0.740566381,3.836872624,12.0,True,True
9606.ENSP00000438349,TRMT112,TR112_HUMAN,B2R539,,1,CEGs,DEPMAP-CEG,CEG_combined,1207,1208,99.92,0,0,0,0,0,False,,0,0,0,4,4,0,peripheral,73.0,0.004596688,0.001273078,0.258118297,0.013388864,0.000110457,52.0,0.303216299,61614.0,17.0,842.0,0.442484519,-0.436980931,4.0,True,False
9606.ENSP00000439056,HAUS5,HAUS5_HUMAN,B2RXK1,HAUS augmin-like complex subunit 5,1,CEGs,DEPMAP-CEG,CEG_combined,1198,1208,99.17,0,0,0,0,0,False,,0,0,0,0,0,0,peripheral,11.0,0.000692652,2.1e-05,0.205637976,1.24e-06,5.06e-05,9.0,0.66938886,10182.0,5.0,888.0,0.0,-0.478583559,0.0,True,False
9606.ENSP00000440542,CHD4,CHD4_HUMAN,Q14839,Chromodomain-helicase-DNA-binding protein 4,1,UNLABELED,DEPMAP-CEG,CEG_combined,1170,1208,96.85,1,0,1,0,1,True,,0,0,0,270,263,0,peripheral,138.0,0.008689629,0.00044725,0.273468102,0.001493841,0.000211003,53.0,0.24449356,119630.0,7.0,1183.0,0.263810124,1.680214277,5.0,True,False
9606.ENSP00000441065,SLC16A1,MOT1_HUMAN,P53985,Monocarboxylate transporter 1,1,UNLABELED,DEPMAP-CSEG-like,CSEG_combined,164,1208,13.58,0,0,0,1,1,True,DB00119,2,0,1,1002,374,0,connector,8.0,0.000503747,0.000106475,0.221186743,1.56e-06,3.89e-05,6.0,0.060233673,6521.0,8.0,1936.0,0.6875,-0.784481604,4.0,False,True
9606.ENSP00000441543,UBC,UBC_HUMAN,P02248,Polyubiquitin-C,1,UNLABELED,DEPMAP-intermediate,unclassified,133,382,34.82,0,0,0,0,0,False,,35,6,21,47,15,0,network_hub,398.0,0.025061394,0.012265921,0.317893929,0.009812432,0.000685352,53.0,0.070761533,357054.0,3.0,1094.0,0.748907856,7.31317508,11.0,False,False
9606.ENSP00000441875,PHB2,PHB2_HUMAN,B4DP75,Prohibitin-2,1,CEGs,DEPMAP-CEG,CEG_combined,1202,1208,99.5,0,0,0,1,1,True,DB06774,0,0,0,152,57,0,peripheral,45.0,0.002833575,0.000503651,0.269855705,0.000460878,9.91e-05,23.0,0.121876495,36553.0,12.0,518.0,0.569876543,-0.067260654,6.0,True,False
9606.ENSP00000443475,TUBA1C,TBA1C_HUMAN,Q9BQE3,Detyrosinated tubulin alpha-1C chain,1,CEGs,DEPMAP-CEG,CEG_combined,968,1045,92.63,21,0,21,0,21,True,,0,0,0,128,46,0,connector,36.0,0.00226686,6.26e-05,0.26235674,0.000358351,8.43e-05,21.0,0.306456372,30719.0,22.0,371.0,0.640432099,0.661838842,7.0,True,True
9606.ENSP00000443900,LYRM4,LYRM4_HUMAN,A8K543,LYR motif-containing protein 4,1,CEGs,DEPMAP-CEG,CEG_combined,1187,1208,98.26,0,0,0,0,0,False,,0,0,0,0,0,0,peripheral,40.0,0.002518733,0.000100765,0.241583613,0.000198786,8.91e-05,18.0,0.220649076,32465.0,12.0,518.0,0.3425,0.04734796,4.0,True,False
